City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Dudinka,0,RU,1570554712,92,69.41,86.18,19.4,4.47
Zyryanka,100,RU,1570554712,70,65.73,150.89,17.87,5.7
Miri,92,NG,1570554713,87,10.31,9.75,73.13,4.92
Krasnoye,75,RU,1570554713,93,44.87,39.46,48.99,11.18
Pevek,100,RU,1570554713,85,69.7,170.27,31.37,17.63
Koceljeva,25,RS,1570554713,57,44.47,19.82,51.8,6.93
Dunhua,0,CN,1570554713,47,43.37,128.23,38.75,9.91
Jiaohe,0,CN,1570554713,51,43.72,127.34,38.57,5.82
Port Lincoln,34,AU,1570554473,67,-34.72,135.86,53.51,10.94
Kichmengskiy Gorodok,99,RU,1570554714,79,59.99,45.81,33.17,13.43
Birao,78,CF,1570554714,86,10.3,22.78,73.13,0.89
Krasne,0,UA,1570554714,52,49.91,24.61,46.4,6.71
Kyzyl-Suu,43,KG,1570554714,50,42.34,78.0,59.81,3.65
Fukue,20,JP,1570554714,60,35.03,136.69,69.8,19.46
Khandyga,91,RU,1570554715,85,62.65,135.58,23.81,5.1
Salalah,40,OM,1570554715,78,17.01,54.1,82.4,4.7
Dzhubga,100,RU,1570554715,95,44.32,38.7,45.41,7.43
Donskoye,40,RU,1570554715,76,45.45,41.98,57.0,4.47
Codrington,90,AU,1570554715,77,-28.95,153.24,66.2,4.7
Provost,100,CA,1570554715,70,52.35,-110.26,29.75,17.63
Sungaipenuh,100,ID,1570554716,98,-2.08,101.38,71.87,0.45
Sangamner,4,IN,1570554716,84,19.57,74.2,72.59,4.0
Arlit,42,NE,1570554716,15,18.74,7.39,99.95,3.47
Opuwo,1,NA,1570554716,28,-18.06,13.84,71.87,9.66
Solotcha,59,RU,1570554716,63,54.79,39.84,33.01,5.65
Ullapool,100,GB,1570554717,83,57.9,-5.16,54.0,8.99
Madiun,60,ID,1570554717,71,-7.63,111.52,75.65,6.49
Svetlogorsk,100,RU,1570554717,53,53.14,59.15,50.0,2.24
Tonk,0,IN,1570554717,52,26.16,75.79,78.71,1.12
San Jeronimo,0,PE,1570554717,328,-13.65,-73.37,37.4,8.05
Makuyuni,66,TZ,1570554717,95,-5.02,38.33,68.27,2.99
Qasigiannguit,5,GL,1570554718,63,68.82,-51.19,32.0,2.24
Pio IX,5,BR,1570554718,20,-6.83,-40.61,96.89,8.2
Tarakan,100,ID,1570554718,77,3.3,117.63,80.15,3.16
Bathsheba,20,BB,1570554718,66,13.22,-59.52,87.8,19.46
Naze,75,NG,1570554705,83,5.43,7.07,80.6,4.7
Lyuban,100,BY,1570554718,70,52.8,28.0,41.81,10.74
Paamiut,100,GL,1570554719,92,61.99,-49.67,39.29,11.25
Beloha,0,MG,1570554719,36,-25.17,45.06,81.59,3.4
Manitowoc,1,US,1570554719,55,44.09,-87.66,66.0,17.22
Daru,100,PG,1570554719,85,-9.07,143.21,73.67,6.61
Vao,99,EE,1570554719,91,59.1,26.19,40.01,10.74
Sinnamary,0,GF,1570554719,78,5.38,-52.96,82.85,19.28
Namatanai,57,PG,1570554720,86,-3.66,152.44,78.53,11.43
Amarante do Maranhao,62,BR,1570554720,34,-5.57,-46.74,94.91,7.23
Olinda,75,AU,1570554720,81,-37.84,145.39,52.0,9.17
Emmett,1,US,1570554720,41,43.87,-116.5,64.0,5.82
Fare,88,PF,1570554721,83,-16.7,-151.02,77.45,21.52
Matara,39,BI,1570554721,58,-3.48,29.48,63.23,6.33
Lorengau,45,PG,1570554721,72,-2.02,147.27,83.93,8.27
Ostrovnoy,100,RU,1570554721,96,68.05,39.51,37.31,15.79
Berlevag,75,NO,1570554722,80,70.86,29.09,39.2,16.11
Kitimat,20,CA,1570554722,69,54.02,-128.69,42.01,13.87
Grimshaw,40,CA,1570554722,53,56.19,-117.61,28.99,19.46
Awjilah,0,LY,1570554722,20,29.14,21.3,85.01,19.17
Dharangaon,47,IN,1570554722,74,21.01,75.27,79.25,5.73
Stephenville,90,CA,1570554723,93,48.55,-58.59,51.8,17.22
Minab,0,IR,1570554723,66,27.15,57.07,86.0,4.7
The Pas,90,CA,1570554723,87,53.82,-101.24,42.8,24.16
Sterling,90,US,1570554723,59,39.0,-77.4,66.99,4.7
Wajir,73,KE,1570554723,36,1.75,40.07,89.87,7.94
Burns Lake,24,CA,1570554724,37,54.23,-125.76,30.29,4.94
Kenai,75,US,1570554724,71,60.55,-151.26,45.0,9.17
Eyl,14,SO,1570554724,74,7.98,49.82,78.35,11.54
Le Mars,1,US,1570554724,45,42.79,-96.17,66.99,25.28
Mount Gambier,75,AU,1570554724,87,-37.83,140.78,44.6,5.82
Buala,89,SB,1570554725,81,-8.15,159.59,79.97,4.5
Novosheshminsk,100,RU,1570554725,65,55.06,51.22,42.53,4.92
Vinstra,100,NO,1570554725,98,61.6,9.73,29.75,3.05
Smithers,75,CA,1570554725,65,54.78,-127.17,32.0,6.93
Mezen,95,RU,1570554725,93,65.85,44.24,33.89,12.86
Vila Velha,40,BR,1570554726,55,-3.71,-38.6,86.0,20.8
Betsiamites,40,CA,1570554726,54,48.94,-68.65,55.4,9.17
Buin,0,CL,1570554726,24,-33.73,-70.74,78.8,3.36
Hirara,38,JP,1570554726,80,24.8,125.28,79.07,17.85
Saint-Joseph,35,FR,1570554726,52,43.56,6.97,73.4,4.7
Ogulin,0,HR,1570554726,48,45.27,15.22,60.8,3.36
Bow Island,90,CA,1570554727,89,49.87,-111.38,32.0,16.11
Bilma,48,NE,1570554727,24,18.69,12.92,93.83,9.19
Snezhnogorsk,75,RU,1570554727,94,69.19,33.23,37.4,13.42
Vakhrushev,100,RU,1570554727,97,48.99,142.86,47.75,10.02
Vila Franca do Campo,40,PT,1570554727,60,37.72,-25.43,71.01,17.22
Keffi,100,NG,1570554727,95,8.85,7.88,73.31,3.17
Porbandar,0,IN,1570554728,74,21.64,69.61,84.65,10.87
Alice Springs,0,AU,1570554728,30,-23.7,133.88,59.0,5.82
Cayenne,4,GF,1570554728,88,4.94,-52.33,78.8,12.75
Edd,19,ER,1570554728,54,13.93,41.69,90.41,16.28
Muhos,100,FI,1570554729,69,64.81,26.0,35.6,4.7
Umm Bab,1,QA,1570554729,49,25.21,50.81,89.6,6.93
Progreso,0,UY,1570554729,23,-34.68,-56.22,73.4,12.75
Porto Walter,58,BR,1570554729,38,-8.27,-72.74,94.19,2.48
Dauriya,1,RU,1570554729,79,49.93,116.85,42.17,10.54
Boa Vista,75,BR,1570554729,66,2.82,-60.67,86.0,4.7
Miles City,1,US,1570554730,41,46.41,-105.84,60.8,8.05
Richards Bay,1,ZA,1570554730,83,-28.77,32.06,69.89,5.38
Provideniya,100,RU,1570554730,99,64.42,-173.23,33.71,3.53
Mulki,75,PL,1570554730,76,49.81,20.51,51.01,3.36
Dovhe,100,UA,1570554730,54,51.33,26.46,44.87,10.98
Rudnyy,50,KZ,1570554731,61,52.96,63.12,48.2,4.34
Surt,48,LY,1570554731,65,31.21,16.59,73.13,11.6
Dzhebariki-Khaya,91,RU,1570554731,85,62.22,135.8,23.81,5.1
Muravlenko,100,RU,1570554731,76,63.79,74.5,33.71,16.2
Lauf,75,DE,1570554731,93,48.65,8.13,64.4,3.36
Lingao,60,CN,1570554731,78,19.91,109.69,81.05,16.23
Teguldet,19,RU,1570554732,91,57.31,88.17,32.81,4.22
Pedernales,96,EC,1570554732,79,0.07,-80.05,76.01,9.06
Tiarei,75,PF,1570554732,78,-17.53,-149.33,77.0,3.36
General Roca,0,AR,1570554732,18,-39.03,-67.58,64.4,13.87
Vostok,100,RU,1570554732,98,46.45,135.83,43.07,9.24
Lagoa,0,PT,1570554732,69,37.14,-8.45,80.01,5.82
Simao,2,CN,1570554733,89,22.76,100.79,59.99,1.36
Poum,75,MK,1570554733,66,41.28,20.71,55.4,2.24
Iberia,71,PE,1570554733,28,-11.41,-69.49,100.13,1.41
Luanda,20,AO,1570554733,78,-8.83,13.24,78.8,12.75
Karratha,0,AU,1570554733,35,-20.74,116.85,77.45,10.56
Oyek,75,RU,1570554734,93,52.59,104.46,44.6,15.66
Karpathos,20,GR,1570554734,69,35.51,27.21,75.2,5.82
Besancon,47,FR,1570554734,72,47.25,6.02,63.0,11.41
Porto Torres,0,IT,1570554734,64,40.84,8.4,71.6,4.7
Kuznechikha,100,RU,1570554734,97,63.45,41.73,34.25,11.54
Rincon de La Victoria,0,BO,1570554734,26,-21.52,-64.81,78.8,6.93
Ugoofaaru,71,MV,1570554735,73,5.67,73.0,82.85,8.14
Toccoa,40,US,1570554735,57,34.58,-83.33,84.99,8.05
Beringovskiy,98,RU,1570554735,68,63.05,179.32,32.99,16.23
Nambour,90,AU,1570554735,91,-26.63,152.96,69.01,1.99
Semnan,0,IR,1570554736,16,35.58,53.39,75.2,2.24
Cabra,0,ES,1570554736,32,37.47,-4.43,84.99,9.17
Coahuayana,96,MX,1570554736,73,18.62,-100.35,82.67,2.84
Barkhan,0,PK,1570554736,47,29.9,69.52,69.17,3.33
Dunmore East,40,IE,1570554736,66,52.15,-6.99,57.0,11.41
Sisimiut,64,GL,1570554736,53,66.94,-53.67,38.39,4.03
Selje,75,NO,1570554737,87,62.05,5.35,48.2,16.11
Jalu,0,LY,1570554737,22,29.03,21.55,84.11,16.6
Cam Ranh,40,VN,1570554737,74,11.92,109.15,84.2,10.29
Lasa,20,CY,1570554737,64,34.92,32.53,77.0,9.17
Sao Joao da Barra,20,BR,1570554737,55,-21.64,-41.05,87.8,11.41
Winnemucca,1,US,1570554737,34,40.97,-117.74,64.99,9.2
Oriximina,80,BR,1570554738,47,-1.77,-55.87,92.21,4.03
Kamenka,72,MD,1570554738,67,48.03,28.7,42.01,4.0
Clyde River,20,CA,1570554738,92,70.47,-68.59,30.2,3.36
Half Moon Bay,20,US,1570554738,45,37.46,-122.43,75.99,4.7
Utete,96,TZ,1570554738,91,-7.99,38.76,74.39,5.34
Bedele,92,ET,1570554739,94,8.46,36.35,58.19,1.59
Mae Ramat,0,TH,1570554739,92,16.98,98.52,69.89,1.36
Oranienburg,75,DE,1570554739,93,52.75,13.25,55.99,6.93
Mnogovershinnyy,69,RU,1570554739,98,53.94,139.92,35.15,1.79
Japura,89,ID,1570554739,93,-0.42,102.29,73.31,1.62
Khorixas,0,NA,1570554740,46,-20.37,14.96,62.15,4.41
Saint Anthony,1,US,1570554740,28,43.97,-111.68,55.4,11.41
Imbituba,40,BR,1570554740,57,-28.24,-48.67,80.6,9.17
Ankpa,82,NG,1570554740,96,7.37,7.63,71.15,5.7
Alofi,100,NU,1570554740,78,-19.06,-169.92,73.4,5.82
Moussoro,49,TD,1570554741,48,13.64,16.49,89.33,4.41
Torbat-e Jam,0,IR,1570554741,43,35.24,60.63,59.81,7.72
Chon Daen,48,TH,1570554741,72,16.19,100.86,81.0,0.51
Dawlatabad,0,AF,1570554741,28,36.41,64.91,63.41,1.43
Kavaratti,3,IN,1570554741,68,10.57,72.64,83.21,4.8
Dalbandin,0,PK,1570554741,24,28.9,64.41,70.97,3.8
Gizo,47,IL,1570554742,71,31.8,34.94,79.0,3.9
Bima,75,ID,1570554742,88,-8.45,118.73,67.73,0.72
Maceio,75,BR,1570554742,58,-9.67,-35.74,84.2,14.99
Tazmalt,40,DZ,1570554742,60,36.39,4.4,75.2,6.93
Saint-Prosper,16,CA,1570554742,67,46.21,-70.48,57.0,4.0
Mardin,100,TR,1570554742,21,37.32,40.72,78.8,6.93
Chernyshevskiy,91,RU,1570554743,94,63.01,112.47,17.69,5.14
Iskateley,99,RU,1570554743,83,67.68,53.15,38.57,16.66
Iranshahr,40,IR,1570554743,42,27.21,60.69,86.0,11.41
Bharwari,0,IN,1570554743,61,25.56,81.49,78.71,3.13
Forssa,99,FI,1570554743,93,60.82,23.63,39.99,2.24
Saldanha,53,PT,1570554743,59,41.42,-6.55,71.51,8.46
Neosho,1,US,1570554744,36,43.31,-88.52,68.0,6.93
Faanui,87,PF,1570554744,84,-16.48,-151.75,77.27,21.22
Nehe,11,CN,1570554744,69,48.48,124.88,43.07,9.22
Atbasar,0,KZ,1570554744,43,51.81,68.36,55.49,4.5
Suhbaatar,0,MN,1570554744,68,50.23,106.21,43.25,3.33
Najran,0,SA,1570554745,21,17.54,44.22,82.4,9.17
Luderitz,0,NA,1570554745,63,-26.65,15.16,66.2,26.4
Poya,31,NC,1570554745,75,-21.35,165.16,69.89,3.47
Catio,100,GW,1570554745,87,11.28,-15.25,78.17,5.82
Basco,1,US,1570554745,42,40.33,-91.2,70.0,9.17
Verkhnevilyuysk,100,RU,1570554745,93,63.45,120.31,19.31,6.33
Tacna,0,PE,1570554745,63,-18.01,-70.25,64.4,5.82
Kloulklubed,75,PW,1570554746,83,7.04,134.26,82.4,10.29
Bambous Virieux,75,MU,1570554746,69,-20.34,57.76,73.4,12.75
Rawson,33,AR,1570554746,27,-43.3,-65.11,62.51,23.76
Mayo,75,CA,1570554746,92,63.59,-135.9,14.0,1.35
Hambantota,48,LK,1570554746,79,6.12,81.12,81.23,11.41
Karasjok,75,NO,1570554747,64,69.47,25.52,39.2,14.99
Do Gonbadan,3,IR,1570554747,69,30.36,50.8,80.6,9.17
Mecca,71,SA,1570554554,29,21.43,39.83,94.91,6.51
Gushikawa,20,JP,1570554747,78,26.35,127.87,78.8,8.05
Ilhabela,100,BR,1570554747,86,-23.78,-45.36,70.25,12.93
Buique,40,BR,1570554748,27,-8.62,-37.16,88.61,12.13
San Quintin,0,PH,1570554748,85,17.54,120.52,71.87,5.32
Broome,40,GB,1570554748,82,52.47,1.45,57.99,5.82
Goderich,0,CA,1570554741,59,43.74,-81.71,69.01,7.0
Jaguey Grande,75,CU,1570554748,66,22.53,-81.13,89.6,8.05
Emba,20,CY,1570554748,64,34.81,32.42,77.0,9.17
Perth,100,AU,1570554749,72,-31.95,115.86,66.0,9.17
Bafoulabe,15,ML,1570554749,61,13.81,-10.83,86.99,5.7
Huarmey,100,PE,1570554749,88,-10.07,-78.15,60.35,11.23
Koppies,0,ZA,1570554749,16,-27.24,27.57,66.11,9.89
San Cristobal,94,HN,1570554749,60,14.68,-86.92,81.23,6.33
Iwaki,71,JP,1570554749,57,37.05,140.89,64.99,1.99
Paciran,51,ID,1570554750,82,-6.9,112.33,73.67,4.27
Sibu,75,MY,1570554750,94,2.29,111.83,73.4,1.61
Tura,0,RU,1570554750,82,64.27,100.22,13.37,5.3
Dera Bugti,0,PK,1570554750,37,29.03,69.15,79.25,2.28
Kenora,7,CA,1570554750,81,49.76,-94.48,55.4,14.99
Rapar,0,IN,1570554750,49,23.57,70.65,84.29,2.82
Masumbwe,1,TZ,1570554751,19,-3.65,32.16,77.27,2.42
Porto Novo,75,BR,1570554751,73,-23.68,-45.44,71.6,4.7
Mount Isa,0,AU,1570554751,16,-20.73,139.49,75.2,19.46
Diamantina,77,BR,1570554751,52,-18.24,-43.6,80.87,7.94
La Union,48,GT,1570554751,18,14.97,-89.29,81.0,0.71
Caravelas,56,BR,1570554751,64,-17.73,-39.27,81.41,16.01
Mirador,72,BR,1570554752,28,-6.37,-44.36,96.53,4.12
Biograd na Moru,0,HR,1570554752,71,43.94,15.45,61.0,2.83
Macae,40,BR,1570554752,55,-22.37,-41.79,87.8,9.17
Panguna,100,PG,1570554752,73,-6.32,155.48,81.59,6.85
Foso,100,GH,1570554752,96,5.7,-1.29,73.67,2.71
Margate,90,AU,1570554753,65,-43.03,147.26,46.4,9.17
Ponta Delgada,40,PT,1570554754,60,37.73,-25.67,71.01,17.22
Mahibadhoo,98,MV,1570554754,69,3.78,72.97,82.67,5.01
Maputo,75,MZ,1570554754,78,-25.97,32.57,73.4,14.99
Acari,11,BR,1570554754,20,-6.44,-36.64,96.71,19.42
Tshikapa,100,CD,1570554754,83,-6.42,20.79,74.75,1.61
Port-Gentil,75,GA,1570554755,74,-0.72,8.78,84.2,13.87
Poway,1,US,1570554755,21,32.96,-117.04,80.01,3.36
Taxisco,75,GT,1570554755,70,14.07,-90.46,87.8,4.7
Santa Maria,75,BR,1570554755,40,-16.02,-48.01,88.0,8.05
Senanga,53,ZM,1570554756,32,-16.1,23.3,79.97,6.38
Bani,5,YE,1570554756,72,16.02,42.93,87.35,4.97
Nuqui,75,CO,1570554756,83,5.71,-77.27,80.6,8.05
Itarema,25,BR,1570554756,45,-2.92,-39.92,87.53,17.69
Sao Miguel do Araguaia,32,BR,1570554756,26,-13.28,-50.16,101.21,5.03
Gamba,0,CN,1570554757,68,28.28,88.52,32.81,4.27
Bereda,40,ES,1570554757,77,43.27,-7.54,64.4,8.05
Ghanzi,0,BW,1570554757,11,-21.7,21.65,80.33,4.92
Swellendam,0,ZA,1570554757,40,-34.02,20.44,71.6,16.11
Emborion,90,GR,1570554757,82,40.48,21.55,55.4,1.5
Smiths Falls,1,CA,1570554758,48,44.9,-76.02,63.0,0.49
Chesham,40,GB,1570554758,82,51.71,-0.61,57.2,12.75
Beroroha,52,MG,1570554758,56,-21.68,45.17,76.91,2.55
Mut,99,TR,1570554758,82,36.64,33.44,63.59,2.11
Santiago del Estero,0,AR,1570554758,27,-27.8,-64.26,90.41,12.86
Florianopolis,40,BR,1570554672,57,-27.6,-48.55,84.99,9.17
Rock Hill,90,US,1570554653,82,34.92,-81.03,73.99,9.17
Buarcos,90,PT,1570554759,94,40.16,-8.88,68.0,18.34
Patrocinio,70,PH,1570554759,94,13.72,123.64,73.31,2.02
Great Falls,90,US,1570554759,69,47.5,-111.29,42.8,24.16
Praia da Vitoria,40,PT,1570554675,56,38.73,-27.07,71.6,11.23
Coffs Harbour,14,AU,1570554759,76,-30.3,153.13,59.0,4.7
Aasiaat,39,GL,1570554759,60,68.71,-52.87,34.25,11.72
Ayan,28,IR,1570554760,47,38.23,44.7,50.45,4.81
Gamboula,71,CF,1570554760,88,4.12,15.14,71.51,1.58
Abalak,91,NE,1570554760,39,15.46,6.28,90.77,14.63
Yulara,0,AU,1570554760,25,-25.24,130.99,66.2,6.93
Buchanan,75,LR,1570554497,94,5.88,-10.05,75.2,6.93
Otradnoye,75,RU,1570554760,83,59.77,30.8,41.0,11.18
Auki,96,NG,1570554761,76,12.18,6.51,78.71,5.03
Dingle,68,PH,1570554761,87,11.0,122.67,73.85,3.64
Bihoro,61,JP,1570554761,79,43.75,144.14,49.37,5.95
Pandan,100,PH,1570554761,75,11.72,122.09,83.21,12.17
Ilulissat,5,GL,1570554761,53,69.22,-51.1,32.0,2.24
Inongo,37,CD,1570554762,81,-1.93,18.29,75.11,1.12
Brodick,75,GB,1570554762,76,55.58,-5.15,53.6,20.8
Ishigaki,36,JP,1570554762,78,24.34,124.16,79.43,18.38
Pathein,97,MM,1570554762,90,16.78,94.73,76.37,3.42
Coruripe,27,BR,1570554762,73,-10.12,-36.18,78.89,15.54
Ucluelet,20,CA,1570554763,61,48.94,-125.55,48.0,12.75
Nanma,73,CN,1570554763,64,35.7,113.14,56.57,4.97
Tutoia,0,BR,1570554763,58,-2.76,-42.27,87.8,23.04
Riyadh,0,SA,1570554668,25,24.63,46.72,89.6,5.82
Leh,18,IN,1570554763,39,34.16,77.58,30.11,1.81
Peniche,20,PT,1570554763,64,39.36,-9.38,79.0,20.8
Mwene-Ditu,98,CD,1570554764,86,-7.01,23.45,70.61,0.89
